Subdomain,CNAME (Pointed To),DNS Status,HTTP Status,Provider,Signature,DNS Lookup Result,Security Issue,Risk Level,Risk Label,Server Header,Scanned At
artifactory.playskope.com.,artifactory-gcp-01.netskope.io,CNAME,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,CNAME -> artifactory-gcp-01.netskope.io,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:36:14.164195+00:00
devtest.vault.playskope.com.,34.83.183.68,A,403,Unknown Provider,Unknown Provider - HTTP 403,A -> 34.83.183.68,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,nginx,2026-02-11T03:36:18.340660+00:00
docker-misp-dev.playskope.com.,35.230.90.163,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 35.230.90.163,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:36:36.634904+00:00
docker-misp-test.playskope.com.,35.199.180.5,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 35.199.180.5,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:36:55.841093+00:00
ebg3o53rhgr2.sg01.mgt.pdx.playskope.com.,gv-bgpf6fkpbpro5e.dv.googlehosted.com,CNAME,0 (Connection Failed),GCP Cloud Storage,GCP Cloud Storage - Connection Failed,CNAME -> gv-bgpf6fkpbpro5e.dv.googlehosted.com [CNAME target NXDOMAIN],Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:36:58.649914+00:00
graph.playskope.com.,35.186.202.139,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 35.186.202.139,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:37:01.500343+00:00
ibwcez3t6whr.docker-misp-dev.playskope.com.,gv-v4sm6nj4zqowwn.dv.googlehosted.com,CNAME,0 (Connection Failed),GCP Cloud Storage,GCP Cloud Storage - Connection Failed,CNAME -> gv-v4sm6nj4zqowwn.dv.googlehosted.com [CNAME target NXDOMAIN],Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:37:05.301039+00:00
infoblox01.iad1.gcpfed.playskope.com.,34.96.69.143,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.96.69.143,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,nginx/1.14.0 + Phusion Passenger(R) 6.0.18,2026-02-11T03:37:10.062202+00:00
jenkins01.iad1.gcpfed.playskope.com.,jenkins01.iad1.gcpfed.playskope.com.,NXDOMAIN,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,NXDOMAIN,None - NXDOMAIN,LOW,No DNS Record - Not Exploitable,,2026-02-11T03:37:12.464530+00:00
jenkins01.pdx1.gcpfed.playskope.com.,34.96.73.245,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.96.73.245,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:37:17.571598+00:00
jenkins02.iad1.gcpfed.playskope.com.,34.96.115.249,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.96.115.249,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:37:22.094399+00:00
jenkins.okta.playskope.com.,34.107.243.50,A,502,Unknown Provider,Unknown Provider - HTTP 502,A -> 34.107.243.50,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:37:26.641405+00:00
jw.vault.playskope.com.,35.193.149.235,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 35.193.149.235,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:37:45.495109+00:00
kabana.playskope.com.,107.178.253.213,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 107.178.253.213,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:37:49.885490+00:00
kibana.playskope.com.,107.178.253.213,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 107.178.253.213,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:37:54.530283+00:00
kolide-fleet.playskope.com.,35.190.82.154,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 35.190.82.154,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:37:58.857809+00:00
ld01-mgt-pdx.playskope.com.,10.1.0.15,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 10.1.0.15,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:38:16.152246+00:00
looker01.test.playskope.com.,34.102.222.72,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.102.222.72,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:38:20.238460+00:00
looker02.test.playskope.com.,34.102.222.72,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.102.222.72,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:38:22.564678+00:00
looker03.test.playskope.com.,34.102.222.72,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.102.222.72,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:38:26.338833+00:00
looker-test.playskope.com.,34.102.222.72,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.102.222.72,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:38:29.775485+00:00
nagios01.iad1.gcpfed.playskope.com.,34.95.70.95,A,404,Unknown Provider,Unknown Provider - HTTP 404,A -> 34.95.70.95,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:38:33.317518+00:00
nagios01.pdx1.gcpfed.playskope.com.,34.95.120.25,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.95.120.25,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,istio-envoy,2026-02-11T03:38:36.473015+00:00
nagios01.playskope.com.,34.95.70.95,A,404,Unknown Provider,Unknown Provider - HTTP 404,A -> 34.95.70.95,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:38:39.306378+00:00
nagios1.iad1.gcpfed.playskope.com.,34.96.71.0,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.96.71.0,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:38:41.882241+00:00
netskope-cp-test-1-donotuse.playskope.com.,34.84.73.95,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 34.84.73.95,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:39:00.620630+00:00
